Intel Name,Intel Source,Intel Source Link,Intel Summary,Impact,Date of Scan,Intel Push to ATS
CloudMensis_spyware_targets_MacOS_systems,WeLivesecurity,"https://www.welivesecurity.com/2022/07/19/i-see-what-you-did-there-look-cloudmensis-macos-spyware/, https://www.jamf.com/blog/cloudmensis-malware/","Researchers from ESET discovered a previously undetected macOS backdoor, tracked as CloudMensis, that targets macOS systems and exclusively uses public cloud storage services as C2.",LOW,2022-07-21,Yes
A_new_variant_of_QakBot,Fortinet,https://www.fortinet.com/blog/threat-research/new-variant-of-qakbot-spread-by-phishing-emails?&web_view=true,Fortinet’s researchers observered a phishing email as part of a phishing campaign spreading a new variant of QakBot.,LOW,2022-07-21,Yes
Threat_actors_leveraging_AgentTesla_to_target_Ukraine_state_bodies,Cert-UA,https://cert.gov.ua/article/861292,"CERT-UA discovered the file ""Report_050722_4.ppt"", which contains a thumbnail image that mentions the operational command ""South"". In the case of opening the document and activating the macro, the latter will ensure the creation of the files ""gksg023ig.lnk"" and ""sgegkseg23mjl.exe"", as well as the execution of the LNK file using rundll32.exe, which in turn will lead to the launch of the mentioned EXE file.",LOW,2022-07-21,Yes
PyAutoGUI_lets_your_Python_scripts_control_the_mouse_and_keyboard,ISC SANS,https://isc.sans.edu/diary/Malicious+Python+Script+Behaving+Like+a+Rubber+Ducky/28860,PyAutoGUI lets malicious Python scripts control the mouse and keyboard to automate interactions with other applications,LOW,2022-07-21,Yes
Continued_cyber_activity_in_Eastern_Europe,Google blog,https://blog.google/threat-analysis-group/continued-cyber-activity-in-eastern-europe-observed-by-tag/,"Google’s Threat Analysis Group (TAG) continues to closely monitor Russian APT activity outside of Ukraine. TAG has disrupted coordinated influence operations from several actors including the Internet Research Agency and a Russian consulting firm, Turla, COLDRIVER, Ghostwriter/UNC1151 groups and The Follina vulnerability.",MEDIUM,2022-07-21,Yes
Redeemer_Ransomware_released_new_version_Redeemer_2_0,Cyble,https://blog.cyble.com/2022/07/20/redeemer-ransomware-back-action/?utm_content=215383953&utm_medium=social&utm_source=twitter&hss_channel=tw-1141929006603866117,Researchers at Cyble has identified the latest version of Redeemer ransomware on darkweb cybercrime forums. The author of Redeemer ransomware released new version with updated features.,MEDIUM,2022-07-21,Yes
Open_Document_malware_targets_Latin_American_Hotels,HP Wolf Security,https://threatresearch.ext.hp.com/stealthy-opendocument-malware-targets-latin-american-hotels/?web_view=true,Researchers from HP Wolf Security analyzed a stealthy malware campaign which uses OpenDocument text (.odt) files to distribute malware. The campaign targets the hotel industry in Latin America. ,LOW,2022-07-20,Yes
8220_Gang_Massively_Expands_Cloud_Botnet,Sentinelone,https://www.sentinelone.com/blog/from-the-front-lines-8220-gang-massively-expands-cloud-botnet-to-30000-infected-hosts/,"Over the last month a crimeware group best known as 8220 Gang has expanded their botnet to roughly 30,000 hosts globally through the use of Linux and common cloud application vulnerabilities and poorly secured configurations.",MEDIUM,2022-07-20,Yes
Industrial_Espionage_Operation_explained,BitDefender,"https://www.bitdefender.com/blog/labs/under-siege-for-months-the-anatomy-of-an-industrial-espionage-operation/
https://www.bitdefender.com/files/News/CaseStudies/study/421/Bitdefender-PR-Whitepaper-IndEs-creat6269-en-EN.pdf",Researchers from BitDefender analyzed an incident which was an industrial Espionage operation. In this attack the attacker managed to compromise a Patient Zero computer and used it to establish a secondary access avenue through a web shell planted on the company’s Exchange Server.,MEDIUM,2022-07-20,Yes
WatchDog_Adds_Steganography_in_Cryptojacking_Operations,Lacework,https://www.lacework.com/blog/how-watchdog-smuggles-malware-into-your-network-as-uninteresting-photos/,Reserachers from Lacework reported about WatchDog’s cryptojacking campaign has adopted the unique steganography technique for malware propagation and other objectives. The XMRig miner was disguised as an image and hosted on compromised cloud storage (Alibaba Object Storage Service).,LOW,2022-07-20,Yes
